Bien sûr, voici les résultats sous forme de tableau CSV et une explication de la méthode de chiffrage.  Comme je n'ai pas accès aux annexes mentionnées dans le document PDF, je vais faire des hypothèses sur les user stories et les tâches associées.  Un chiffrage plus précis nécessiterait une connaissance détaillée du contenu de ces annexes.

**1) Tableau CSV:**

```csv
UserStoryId;UserStoryName;TaskId;TaskName;Cost
1;Gérer les droits d'accès au backoffice;1;Conception des droits d'accès;0.5
1;Gérer les droits d'accès au backoffice;2;Développement des droits d'accès;1
1;Gérer les droits d'accès au backoffice;3;Tests des droits d'accès;0.5
2;Gérer la liste des sociétés;1;Récupération de la liste des sociétés;0.25
2;Gérer la liste des sociétés;2;Intégration de la liste;0.5
2;Gérer la liste des sociétés;3;Tests d'intégration;0.25
3;Voir les données collectées;1;Conception de l'affichage des données;0.5
3;Voir les données collectées;2;Développement de l'affichage;1
3;Voir les données collectées;3;Tests;0.5
4;Choisir la langue;1;Implémentation du choix de langue;0.5
4;Choisir la langue;2;Tests;0.25
5;Entrer les informations;1;Conception du formulaire;1
5;Entrer les informations;2;Développement du formulaire;2
5;Entrer les informations;3;Tests du formulaire;1
6;Joindre des photos;1;Intégration de la fonctionnalité de téléchargement;1
6;Joindre des photos;2;Tests de la fonctionnalité;0.5
7;Authentification automatique;1;Implémentation de l'authentification;1
7;Authentification automatique;2;Tests;0.5
8;Consulter la liste des rapports;1;Conception de l'affichage des rapports;1
8;Consulter la liste des rapports;2;Développement de l'affichage;2
8;Consulter la liste des rapports;3;Tests;1
9;Consulter les détails des rapports;1;Conception de l'affichage des détails;1.5
9;Consulter les détails des rapports;2;Développement de l'affichage des détails;2.5
9;Consulter les détails des rapports;3;Tests;1
```

**Note:**  Ce CSV est un exemple basé sur une interprétation des user stories extraites du document.  Le chiffrage est une estimation grossière.


**2) Méthode de Chiffrage:**

J'ai utilisé une méthode d'estimation simplifiée basée sur la complexité perçue de chaque tâche.  L'unité est le jour par homme (j/H).  Sans informations plus précises (spécifications détaillées, niveau d'expérience de l'équipe, etc.), cette approche est nécessaire.

* **Tâches Simples:**  Les tâches qui consistent en des modifications mineures ou des ajouts simples ont été estimées à 0.25 j/H ou 0.5 j/H.
* **Tâches Moyennes:** Les tâches impliquant un développement ou une conception modérée ont été estimées entre 0.5 j/H et 1.5 j/H.
* **Tâches Complexes:**  Les tâches nécessitant plus de conception, de développement et de tests ont été estimées entre 1 j/H et 2.5 j/H.

**Amélioration du Chiffrage:**

Pour une estimation plus précise, il serait nécessaire:

* **Détail des Spécifications:** Des spécifications fonctionnelles et techniques plus détaillées sont indispensables.
* **Décomposition en Sous-tâches:** Décomposer les tâches en sous-tâches plus petites pour obtenir des estimations plus précises.
* **Points d'Histoires (Story Points):**  Utiliser une méthode agile comme les points d'histoire pour une estimation collaborative plus robuste.
* **Estimation Triangulaire:** Obtenir trois estimations (optimiste, pessimiste, réaliste) pour chaque tâche pour ensuite les moyennes.
* **Expertise de l'équipe:** Considérer le niveau d'expérience et les compétences de l'équipe de développement.
* **Facteurs de Risque:** Identifier et quantifier les risques potentiels qui pourraient affecter la durée des tâches.


J'espère que ces informations vous aideront. N'hésitez pas à me fournir plus de contexte si vous avez besoin d'une estimation plus précise.
